1	tatanggapin	tanggap	VB	COOF	_|in|_|ta	0	_
2	ko	ko	PR	PRSG	_|_|_|_	1	_
3	ang	ang	DT	CD	_|_|_|_	4	_
4	paanyaya	anyaya	NN	CP	pa|_|_|_	1	_
5	ninyo	ninyo	PR	PRPL	_|_|_|_	4	_
6	para	para	CC	CCT	_|_|_|_	1	_
7	patunayang	tunay	VB	PFLF	pa|_|ang|_	6	_
8	wala	wala	RB	RF	_|_|_|_	10	_
9	akong	akong	PR	PRSG	_|_|_|_	10	_
10	sama	sama	NN	CP	_|_|_|_	7	_
11	ng	ng	CC	CCB	_|_|_|_	10	_
12	loob	loob	NN	CP	_|_|_|_	11	_
13	sa	sa	CC	CCT	_|_|_|_	13	_
14	inyo	inyo	PR	POPL	_|_|_|_	10	_
15	.	.	PM	PMP	_|_|_|_	14	_

1	hindi	hindi	RB	RF	_|_|_|_	2	_
2	nagtagal	tagal	VB	PFAF	nag|_|_|_	4	_
3	at	at	CC	CCA	_|_|_|_	4	_
4	nagpaalam	paalam	VB	PFAF	nag|_|_|_	0	_
5	na	na	RB	RI	_|_|_|_	4	_
6	si	si	DT	PDSG	_|_|_|_	7	_
7	ibarra	ibarra	NN	NNP	_|_|_|_	4	_
8	.	.	PM	PMP	_|_|_|_	7	_

1	laganap	laganap	JJ	JCJD	_|_|_|_	4	_
2	na	na	RB	RI	_|_|_|_	1	_
3	ang	ang	DT	CD	_|_|_|_	4	_
4	dilim	dilim	NN	CP	_|_|_|_	0	_
5	sa	sa	CC	CCT	_|_|_|_	4	_
6	kanyang	kanya	PR	POSG	_|_|ng|_	7	_
7	paglalakad	lakad	NN	CP	pag|_|_|la	5	_
8	nang	nang	RB	RW	_|_|_|_	7	_
9	may	may	VB	VH	_|_|_|_	10	_
10	lumapit	lapit	VB	INAF	_|um|_|_	8	_
11	na	na	CC	CCP	_|_|_|_	10	_
12	isang	isa	PR	PRI	_|_|ng|_	13	_
13	hindi	hindi	RB	RF	_|_|_|_	15	_
14	niya	niya	PR	PRSG	_|_|_|_	15	_
15	kilalang	kilala	JJ	JCJD	_|_|ng|_	16	_
16	lalaki	lalaki	NN	CP	_|_|_|_	10	_
17	.	.	PM	PMP	_|_|_|_	16	_

1	nawawala	wala	VB	IMAF	na|_|_|wa	0	_
2	po	po	RB	RBS	_|_|_|_	1	_
3	ang	ang	DT	CD	_|_|_|_	6	_
4	aking	akin	PR	POSG	_|_|g|_	6	_
5	mga	mga	DT	CDPL	_|_|_|_	6	_
6	anak	anak	NN	CP	_|_|_|_	1	_
7	at	at	CC	CCA	_|_|_|_	1	_
8	nabaliw	baliw	JJ	JCJD	na|_|_|_	7	_
9	ang	ang	DT	CD	_|_|_|_	11	_
10	aking	akin	PR	POSG	_|_|g|_	11	_
11	asawa	asawa	NN	CP	_|_|_|_	8	_
12	.	.	PM	PMP	_|_|_|_	11	_

1	bagay	bagay	JJ	JCJD	_|_|_|_	0	_
2	raw	raw	RB	RI	_|_|_|_	1	_
3	sa	sa	CC	CCT	_|_|_|_	4	_
4	akin	akin	PR	POSG	_|_|_|_	1	_
5	ang	ang	DT	CD	_|_|_|_	6	_
6	nangyaring	nangyari	VB	PFAF	_|_|ng|_	1	_
7	ito	ito	PR	DM	_|_|_|_	6	_
8	.	.	PM	PMP	_|_|_|_	7	_

1	minasdang	masdan	RB	RD	_|in|g|_	0	_
2	mabuti	buti	RB	RD	ma|_|_|_	1	_
3	ni	ni	DT	PDSG	_|_|_|_	4	_
4	ibarra	ibarra	NN	NNP	_|_|_|_	1	_
5	ang	ang	DT	CD	_|_|_|_	6	_
6	kausap	usap	NN	CP	ka|_|_|_	1	_
7	.	.	PM	PMP	_|_|_|_	6	_

1	ano	ano	PR	QISG	_|_|_|_	0	_
2	po	po	RB	RBS	_|_|_|_	1	_
3	naman	naman	RB	RI	_|_|_|_	2	_
4	ang	ang	DT	CD	_|_|_|_	5	_
5	pakay	kay	NN	CP	pa|_|_|_	1	_
6	ninyo	ninyo	PR	PRPL	_|_|_|_	5	_
7	sa	sa	CC	CCT	_|_|_|_	8	_
8	akin	akin	PR	POSG	_|_|_|_	5	_
9	?	?	PM	PMQ	_|_|_|_	8	_

1	nais	nais	VB	AS	_|_|_|_	0	_
2	po	po	RB	RBS	_|_|_|_	1	_
3	naming	namin	PR	PRPL	_|_|g|_	1	_
4	humingi	hingi	VB	INAF	_|um|_|_	1	_
5	ng	ng	CC	CCB	_|_|_|_	6	_
6	tulong	tulong	NN	CP	_|_|_|_	4	_
7	para	para	RB	RBB	_|_|_|_	6	_
8	sa	sa	RB	RBB	_|_|_|_	10	_
9	aking	akin	PR	POSG	_|_|g|_	10	_
10	asawa	asawa	NN	CP	_|_|_|_	7	_
11	at	at	CC	CCA	_|_|_|_	10	_
12	mga	mga	DT	CDPL	_|_|_|_	13	_
13	anak	anak	NN	CP	_|_|_|_	11	_
14	.	.	PM	PMP	_|_|_|_	13	_

1	nagmamadali	madali	VB	IMAF	nag|_|_|ma	0	_
2	ako	ako	PR	PRSG	_|_|_|_	1	_
3	kaya	kaya	CC	CCR	_|_|_|_	1	_
4	't	't	CC	CCA	_|_|_|_	3	_
5	ikuwento	kuwento	VB	INOF	i|_|_|_	4	_
6	ninyo	ninyo	PR	PRPL	_|_|_|_	5	_
7	na	na	CC	CCP	_|_|_|_	5	_
8	lamang	lamang	RB	RI	_|_|_|_	7	_
9	sa	sa	CC	CCT	_|_|_|_	10	_
10	akin	akin	PR	POSG	_|_|_|_	5	_
11	ang	ang	DT	CD	_|_|_|_	12	_
12	lahat	lahat	PR	PRI	_|_|_|_	5	_
13	habang	habang	RB	RW	_|_|_|_	5	_
14	naglalakad	lakad	VB	IMAF	nag|_|_|la	13	_
15	tayo	tayo	PR	PRPL	_|_|_|_	14	_
16	.	.	PM	PMP	_|_|_|_	15	_

1	ang	ang	DT	CD	_|_|_|_	3	_
2	isang	isa	PR	PRI	_|_|ng|_	3	_
3	pangkat	pangkat	NN	CP	_|_|_|_	14	_
4	ng	ng	CC	CCB	_|_|_|_	5	_
5	kadalagahan	dalaga	NN	CP	ka|_|han|_	3	_
6	at	at	CC	CCA	_|_|_|_	5	_
7	kanilang	kanila	PR	POPL	_|_|ng|_	9	_
8	mga	mga	DT	CDPL	_|_|_|_	9	_
9	magulang	magulang	NN	CP	_|_|_|_	6	_
10	na	na	CC	CCP	_|_|_|_	9	_
11	may	may	VB	VH	_|_|_|_	10	_
12	dala-dalang	dala-dala	JJ	JCJD	_|_|ng|_	11	_
13	ilaw	ilaw	NN	CP	_|_|_|_	12	_
14	ay	ay	LM	LM	_|_|_|_	0	_
15	patungo	tungo	RB	RL	pa|_|_|_	14	_
16	na	na	RB	RI	_|_|_|_	15	_
17	sa	sa	RB	RL	_|_|_|_	18	_
18	lawa	lawa	RB	RL	_|_|_|_	16	_
19	.	.	PM	PMP	_|_|_|_	18	_

1	magkakapit-baywang	kapit-baywang	JJ	JCJD	magka|_|_|_	0	_
2	ang	ang	DT	CD	_|_|_|_	4	_
3	limang	lima	JJ	JN	_|_|ng|_	4	_
4	kadalagahang	dalaga	NN	CP	ka|_|hang|_	1	_
5	nasa	nasa	RB	RW	_|_|_|_	4	_
6	kasibulang	sibol	NN	CP	ka|_|ang|_	7	_
7	gulang	gulang	NN	CP	_|_|_|_	5	_
8	pa	pa	RB	RI	_|_|_|_	6	_
9	lamang	lamang	RB	RI	_|_|_|_	8	_
10	.	.	PM	PMP	_|_|_|_	9	_

1	ang	ang	DT	CD	_|_|_|_	3	_
2	kanilang	kanila	PR	POPL	_|_|ng|_	3	_
3	kuwentuhan	kuwento	NN	CP	_|_|han|_	8	_
4	,	,	PM	PMC	_|_|_|_	5	_
