alin	alin	_	_	_	_	1010	root	PR-QISG
sa	sa	_	_	_	_	0110	1010	PP-DM
palagay	palagay	_	_	_	_	100	0110	NN-NNC
mo	mo	_	_	_	_	1010	100	PR-PRSG
ang	ang	_	_	_	_	0111	_	DT-CD
mapaghimala	himala	mapag	_	_	_	_	1010	VB-INOF
?	?	_	_	_	_	00	_	PM-PMQ

nag-isip	isip	nag	_	_	_	1010	root	JJ-JCJD
na	na	_	_	_	_	0101	100	JJ-JCJD
mabuti	buti	ma	_	_	_	100	1010	JJ-JCJD
si	si	_	_	_	_	0111	_	DT-PDSG
tiya	tiya	_	_	_	_	100	_	NN-NNP
isabel	isabel	_	_	_	_	_	1010	NN-NNP
.	.	_	_	_	_	00	_	PM-PMP

lahat	lahat	_	_	_	_	100	1010	PR-PRI
tayo	tayo	_	_	_	_	1010	0101	PR-PRPL
ay	ay	_	_	_	_	0101	root	LM-LM
pinagpapawisan	pawis	pinag	_	an	pa	_	0101	VB-IMLF
ngunit	ngunit	_	_	_	_	0101	0101	CC-CCT
hindi	hindi	_	_	_	_	1011	100	RB-RF
lahat	lahat	_	_	_	_	100	0101	PR-PRI
ay	ay	_	_	_	_	0101	0101	LM-LM
lumalaki	laki	_	um	_	la	1010	0101	VB-IMAF
.	.	_	_	_	_	00	1010	PM-PMP

mas	mas	_	_	_	_	1011	1011	JJ-JCCM
mainam	inam	ma	_	_	_	1011	root	JJ-JCJD
marahil	marahil	_	_	_	_	1010	1011	RB-RM
kung	kung	_	_	_	_	1011	1011	RB-RK
maglilimos	limos	mag	_	_	li	_	1011	VB-COAF
tayo	tayo	_	_	_	_	1010	_	PR-PRPL
sa	sa	_	_	_	_	0110	_	PP-DM
dalawa	dalawa	_	_	_	_	100	0110	CD-CDB
.	.	_	_	_	_	00	100	PM-PMP

matitiyak	tiyak	ma	_	_	ti	_	root	VB-COOF
natin	natin	_	_	_	_	1010	_	PR-PRPL
ang	ang	_	_	_	_	0111	100	DT-CD
madaliang	dali	ma	_	ang	_	110	100	JJ-JCJD
paggaling	galing	pag	_	_	_	100	_	NN-NNC
ni	ni	_	_	_	_	00	_	DT-PDSG
maria	maria	_	_	_	_	_	_	NN-NNP
clara	clara	_	_	_	_	_	100	NN-NNP
.	.	_	_	_	_	00	_	PM-PMP

ihanda	handa	i	_	_	_	1010	root	VB-INOF
mo	mo	_	_	_	_	1010	1010	PR-PRSG
pinsan	pinsan	_	_	_	_	100	1010	NN-NNC
ang	ang	_	_	_	_	0111	100	DT-CD
mga	mga	_	_	_	_	110	100	DT-CDPL
kuwarto	kuwarto	_	_	_	_	100	1010	NN-NNC
.	.	_	_	_	_	00	100	PM-PMP

darating	dating	_	_	_	da	100	root	VB-INAF
ang	ang	_	_	_	_	0111	110	DT-CD
mag-asawang	mag-asawang	_	_	_	_	110	100	NN-NNC
de	de	_	_	_	_	0110	110	NN-NNP
espada�a	espada�a	_	_	_	_	_	0110	NN-NNP
.	.	_	_	_	_	00	_	PM-PMP

may	may	_	_	_	_	1011	root	VB-VH
kasama	kasama	_	_	_	_	1010	1011	NN-NNC
silang	silang	_	_	_	_	0111	1010	PR-PRPL
isang	isa	_	_	ng	_	110	_	PR-PRI
ginoong	ginoo	_	_	ng	_	_	1010	NN-NNC
kamag-anak	kamag-anak	_	_	_	_	100	_	NN-NNC
daw	daw	_	_	_	_	1010	100	RB-RI
ni	ni	_	_	_	_	00	_	DT-PDSG
padre	padre	_	_	_	_	_	_	NN-NNP
damaso	damaso	_	_	_	_	_	100	NN-NNP
.	.	_	_	_	_	00	_	PM-PMP

kailangang	kailangan	_	_	g	_	1011	_	VB-AS
nakaayos	ayos	naka	_	_	_	_	root	JJ-JCJD
ang	ang	_	_	_	_	0111	100	DT-CD
lahat	lahat	_	_	_	_	100	_	PR-PRI
.	.	_	_	_	_	00	100	PM-PMP

naroon	roon	na	_	_	_	1010	root	RB-RL
ang	ang	_	_	_	_	0111	_	DT-CD
magpinsang	pinsan	mag	_	g	_	_	1010	NN-NNC
sina	sina	_	_	_	_	0111	_	DT-PDPL
sinang	sinang	_	_	_	_	_	0111	NN-NNP
at	at	_	_	_	_	0101	_	CC-CCB
victoria	victoria	_	_	_	_	_	0101	NN-NNP
na	na	_	_	_	_	0101	_	CC-CCP
nagbabantay	bantay	nag	_	_	ba	100	0101	VB-IMAF
kay	kay	_	_	_	_	0110	_	DT-PDSG
maria	maria	_	_	_	_	_	_	NN-NNP
clara	clara	_	_	_	_	_	100	NN-NNP
.	.	_	_	_	_	00	_	PM-PMP

naroon	roon	na	_	_	_	1010	root	RB-RL
din	din	_	_	_	_	1010	1010	RB-RI
